inf_at,inf_lt,inf_ni,inf_revt,inf_cost,inf_emp,gvkey,fyear
856401397.4090337,306580350.55801696,76098669.71397449,1679782835.7809682,1357305713.0236182,25000.0,11815,1999.0
1199703793.297356,961192174.5030549,55832245.35866016,1790412598.358344,1442792659.707945,,11815,2000.0
1082129716.9598274,829898941.5743265,21561898.40842031,1772619481.572441,1433750867.3035002,,11815,2001.0
1016093394.2146004,1027292066.265076,-335052.3841188708,1657101421.1733687,1338070482.831059,23500.0,11815,2002.0
898332481.6936787,889145865.4249526,21144650.28359656,1600609088.761809,1322279795.7579002,23000.0,11815,2003.0
901232659.893428,1021786389.3081552,12656267.76220263,1497204716.5000336,1235089758.7714353,23000.0,11815,2004.0
842736335.3274591,963913613.8336464,-3376988.0470276866,1433025805.5001676,1200409467.682015,22000.0,11815,2005.0
803469045.4615157,929608728.3596812,-8932003.105447907,1440307557.851383,1193661350.5513227,21000.0,11815,2006.0
1392615492.6740284,1683809178.22292,-169160929.3716255,2010509835.7295835,1750315197.319634,38000.0,11815,2007.0
817216319.2859901,1847287461.1864765,-747977327.0362637,2239015436.1490583,1972251994.8462043,33000.0,11815,2008.0
530954713.7376453,104304980.09585445,176024970.07646528,85869406.65860806,13034264.434122428,,19171,2011.0
667378552.2040836,207266033.1631132,46692234.50435127,135789516.89277846,26355079.896797128,,19171,2012.0
748428186.529318,255702615.85834765,79902132.31654006,156704360.42736018,28577958.28765409,36.0,19171,2013.0
2859492895.5403814,1209812240.1667037,3134397.6368800155,353749020.7275414,68336895.15602858,79.0,19171,2014.0
3664788122.939208,1384422106.0995324,-22543741.47491529,350730920.8362081,114469941.37323044,99.0,19171,2015.0
6164436997.553042,1948983735.8971813,-30660394.683278807,436577815.03524965,97952626.25606836,115.0,19171,2016.0
7636684531.121146,2372329617.7951727,282726764.4558453,978864813.7612368,209242602.8719314,180.0,19171,2017.0
,,,,,,21205,2014.0
,,,,,,21205,2015.0
,,,,,,21205,2016.0
,,,,,,21205,2017.0
,,,,,,21205,2018.0
,,,,,,21205,2019.0
3045642.652767057,3193843.881991971,-324324.4291733608,0.0,0.0,28.0,29884,1992.0
11594186.499092689,129287.69117693289,-2579497.967513968,327389.798625459,314878.08657607844,69.0,29884,1993.0
7160829.371951325,475768.9856965115,-4567382.262686511,1702645.60413092,1350374.099827971,60.0,29884,1994.0
2581003.829335312,694582.0702798392,-4952843.739779535,1349699.2502028695,708394.7819047223,9.0,29884,1995.0
1775536.166344765,1349407.4864220214,-3288101.030214684,3215160.085002682,1894545.0769538195,48.0,29884,1996.0
2114334707.7345665,1946030993.4407947,27801148.47933702,91789114.58530344,10661779.344414577,,32698,2015.0
2669383952.240824,2469177780.817339,41003080.6367586,131006532.89804342,21128294.996223472,,32698,2016.0
3607474936.2188826,3274615494.890292,46253551.08100266,169712057.8726923,34266626.10695974,308.0,32698,2017.0
3813384690.347561,3413700122.6572013,75710043.79007682,219261859.9761524,53560549.66557082,352.0,32698,2018.0
3780053126.7620783,3392582082.8958435,34071786.18759169,217627010.68179452,63199621.99976833,311.0,32698,2019.0
4478955670.4904,4113238382.700481,-14838515.69904,178170899.65488002,114962736.38256,294.0,32698,2020.0
3253004290.8,2864444624.28,26448476.4,136742806.8,19331472.96,298.0,32698,2021.0
2640313800.0000005,2302676640.0,-15329520.000000002,109381320.0,12091680.0,275.0,32698,2022.0
2416003000.0,2088280000.0,7413000.0,129575000.0,53303000.0,255.0,32698,2023.0
,,,,,,37732,2021.0
,,,,,,37732,2022.0
,,,,,,37732,2023.0
,,-23501238.18888384,,42402179.48037984,,39157,2019.0
193453415.05248,170352843.10704,-19449017.72352,173403624.54096,46105020.2448,,39157,2020.0
439569380.88,150586701.48,-39824236.44,217003020.84,59550344.64,1934.0,39157,2021.0
448775640.00000006,186169320.0,-44960400.00000001,250926120.00000003,70116840.00000001,2187.0,39157,2022.0
442582000.0,217738000.0,-21725000.0,271825000.0,73265000.0,2543.0,39157,2023.0
618918945.2320516,,35823116.88271822,,,,66707,1993.0
632499436.8781943,,38067592.50234684,,,,66707,1994.0
550541140.2110398,,28531142.483455103,,2089875108.3119304,,66707,1995.0
514128091.32390666,694716435.178914,1431945.9244250753,2358167322.21409,2112980173.881065,,66707,1996.0
1293853843.683908,1489266251.2730758,,,,18000.0,66707,1997.0
1259055083.1012857,1505016282.6310077,-54980483.80961461,3741984734.962673,3402765661.019724,17000.0,66707,1998.0
4234058.60515063,66621941.303562805,-3797901.3018822046,11616854.15383046,4554293.701570304,,107487,2007.0
