inf_at,inf_lt,inf_ni,inf_revt,inf_cost,inf_emp,gvkey,fyear
143824139.0420388,47344990.57828236,9104370.347988283,101667356.19315526,83564304.70519845,334.0,GB0009896605,2015.0
130997665.87286538,33357676.763668373,6896028.362372044,101176890.94613302,82806086.3728715,300.0,GB0009896605,2014.0
245624518.73457128,93543099.49464656,6806528.1574421935,156708800.69979453,132644861.68613178,499.0,GB0009896605,2021.0
106986823.03958328,29248869.971840706,6298499.760268987,88936171.55958429,74033773.67693585,290.0,GB0009896605,2013.0
91259752.59068812,32408416.07632786,4600617.448778109,67640131.58517759,53330170.38012886,234.0,GB0009896605,2009.0
110869838.98884109,35000993.7198005,9678378.451573685,95143819.1210072,76241173.37046869,273.0,GB0009896605,2011.0
108368347.00864875,31254670.254312407,10170989.908822624,84029191.33497772,67294573.17548543,241.0,GB0009896605,2010.0
110256565.56205183,33944784.08241668,7850286.27109898,90831938.38825469,72663461.47939387,256.0,GB0009896605,2008.0
229489432.83044788,90851502.75141706,10522415.584005443,121415425.49898335,98499093.91857222,474.0,GB0009896605,2020.0
111538823.2255405,34210110.95316802,8461905.88805156,91654214.35838164,72445282.00661552,246.0,GB0009896605,2007.0
110311235.8249264,36759420.72989728,9743709.211804358,97247493.71544504,78147515.50584207,295.0,GB0009896605,2012.0
102398123.611175,33930559.76337128,3415384.153612562,82840294.25695294,69148435.42644964,245.0,GB0009896605,2006.0
109849369.28064547,37760632.76683511,6828481.910819523,78709015.84473678,59801970.75173834,,GB0009896605,2005.0
113153411.8871298,29278961.72242697,3494041.43766244,73243952.73487891,58909945.93774083,240.0,GB0009896605,2004.0
109525471.14093414,31141638.083681405,14984013.416249858,58228982.75418972,45239860.34417681,234.0,GB0009896605,2002.0
110677538.09661926,31408849.5697881,1955414.7592085977,62445745.245161526,51148974.10908142,236.0,GB0009896605,2003.0
106417395.15041868,37383423.14253479,6153187.310295633,56143557.765703805,43003888.12016781,237.0,GB0009896605,2001.0
105501237.77470145,30650068.422508866,4657086.932298943,55395663.40715157,41129178.93836144,221.0,GB0009896605,2000.0
111345813.97023992,27043737.20931128,11804437.53536662,65059306.01330346,42471606.17295829,238.0,GB0009896605,1999.0
103163677.40586925,26917707.09012365,17262143.866190467,74401580.62970649,44900506.5290049,235.0,GB0009896605,1997.0
94947208.10448058,29830099.896784574,13720226.869804624,64133665.37262259,38369262.07449514,228.0,GB0009896605,1996.0
110988363.82466048,27348417.177323952,17067466.09266236,73087172.53164688,45735735.098422594,248.0,GB0009896605,1998.0
1336158026.4935489,270803777.3440593,22281478.11567736,37613129.102490224,,0.0,GB0031754558,2001.0
2118322934.3796785,331969710.189506,27447822.46791839,46350116.4872494,,0.0,GB0031754558,2000.0
1754660449.208257,318841658.2267063,25065210.2004344,49701062.63354655,,0.0,GB0031754558,1999.0
1576528276.1242898,314127755.42373633,24279837.182607096,50978899.341364,,0.0,GB0031754558,1998.0
1639393711.8616571,337816460.57472485,31690523.44654603,59353315.11182454,,0.0,GB0031754558,1997.0
1433259993.271741,315745116.085093,24813941.7776449,65935644.469815016,,0.0,GB0031754558,1996.0
1324039564.2648785,328382519.42632294,23448552.110423137,65053534.91314921,,0.0,GB0031754558,1995.0
1179250993.9143372,350938317.7999407,20650909.830418374,62892393.95718349,,0.0,GB0031754558,1994.0
1261475356.5921977,341988610.86594486,22006283.583091483,67704171.82652754,,0.0,GB0031754558,1993.0
1153085210.632866,401228921.8896256,28425453.878142595,78731226.44316924,,0.0,GB0031754558,1992.0
1348218701.926165,421814829.33536273,30801364.35356184,88018599.39533643,,0.0,GB0031754558,1991.0
1369497889.80628,504489989.03240925,40651583.81705889,110069777.05508144,,0.0,GB0031754558,1990.0
1956204213.130165,486552051.24623936,23029701.09953564,89721058.52214447,,0.0,GB0031754558,1989.0
457000000.0,183500000.0,-48800000.0,157400000.0,121500000.0,36.0,GB00B572ZV91,2023.0
666809172.0,322605828.00000006,-5314572.0,140214240.0,16622171.999999998,65.0,GB00B572ZV91,2021.0
628236686.8800001,292147224.336,-246717358.272,154484431.20000002,346273991.7120001,71.0,GB00B572ZV91,2020.0
999507403.88928,405278118.663264,-30870566.670240004,206658057.63398403,75137794.34832,58.0,GB00B572ZV91,2019.0
975780169.8538291,378383215.0093333,28748535.56659815,190861646.9151744,35070827.6206633,23.0,GB00B572ZV91,2018.0
1377749899.1114018,321026707.0375094,-22577973.63100085,174208189.9834601,68967689.94387692,17.0,GB00B572ZV91,2016.0
1458661830.6136982,356421813.8304236,-41743095.31347303,265278605.71994108,142148824.57339483,16.0,GB00B572ZV91,2015.0
1608480516.699957,384961246.995512,17566680.11061658,562384716.1127394,310553809.0984003,17.0,GB00B572ZV91,2014.0
864490890.7311186,262099802.31802863,-191581314.61257395,173677657.1122253,264048499.7330326,19.0,GB00B572ZV91,2017.0
1714885414.8390367,241373428.34357736,118886501.49410155,314223331.9094381,78601458.94160949,14.0,GB00B572ZV91,2011.0
1603694660.8382628,222263288.44429612,16774047.587597692,65975466.371117,18542391.871196344,15.0,GB00B572ZV91,2010.0
618732000.0,261684000.00000003,26352000.0,199152000.00000003,32724000.000000004,36.0,GB00B572ZV91,2022.0
1444957786.9149594,408472264.7598627,69416072.62655349,177910088.87324724,33527971.22637047,14.0,GB00B572ZV91,2009.0
1735258619.676844,358768699.56915003,132580126.46485096,774466617.7067809,293943258.29094726,16.0,GB00B572ZV91,2013.0
1373500546.609269,372168921.676671,43094475.07279748,78005045.31869991,24227515.70180365,14.0,GB00B572ZV91,2008.0
833496606.5459614,391170294.3801072,43460707.559623726,114361940.31344956,30863487.71025269,13.0,GB00B572ZV91,2006.0
439917635.20318353,28248257.614994865,31382485.99014373,88383075.44327039,28715222.079373244,,GB00B572ZV91,2005.0
869823728.1171887,393141470.36202544,46823877.40138175,142613294.97567594,40939376.37622202,14.0,GB00B572ZV91,2007.0
411860498.1240602,20981704.286778945,45090881.13432985,73025756.97482505,26579152.85136057,15.0,GB00B572ZV91,2004.0
373205253.5880312,31523092.55164404,15507820.58356058,67722176.9187869,32134159.663896725,15.0,GB00B572ZV91,2003.0
1868703637.245271,338735855.1961542,269168222.74704,808284865.9882128,168132614.49851337,14.0,GB00B572ZV91,2012.0
366010394.2823755,26866517.1834995,13673935.74051217,64618092.63113018,23908917.582212888,15.0,GB00B572ZV91,2002.0
369943892.1886558,19302631.677531853,43350890.74052602,91190822.4218833,40506446.7257587,14.0,GB00B572ZV91,2001.0
376468694.4638026,49813010.36837632,46717151.32257622,121951313.54641414,39525396.288346425,14.0,GB00B572ZV91,2000.0
257642929.57610384,16762420.246730862,-2096057.5948164356,46871351.31693986,34941340.51070798,46.0,GB00B572ZV91,1998.0
305174736.3222797,22857498.977919288,21508503.290048685,69051172.82300226,34116536.10614683,38.0,GB00B572ZV91,1999.0
281113692.2302545,15237590.286978677,8357772.468028182,25876420.86009164,16385753.402791096,52.0,GB00B572ZV91,1997.0
1585712.2602739723,101983.0630136986,,2487.3917808219,1773510.339726027,5.0,GB00BYW8QM32,2023.0
2893365.06529315,104193.2017972602,,0.0,1594957.4736657531,5.0,GB00BYW8QM32,2022.0
5620377.219657241,248260.25878778717,,0.0,2297509.140497628,5.0,GB00BYW8QM32,2020.0
2290220.2344867364,280979.7271919984,,0.0,968516.7132819165,5.0,GB00BYW8QM32,2017.0
1868728.552470289,128704.918193392,-36772.833769540535,1930573.77290088,1977375.5613348405,3.0,GB00BYW8QM32,2016.0
1241848.194232233,32084.223863142684,-284983.4001961507,0.0,301969.1657707557,18.0,GB00BYW8QM32,2015.0
10666231.622414762,3155104.027130758,1112679.9331695784,6391991.105442259,5249180.574469249,30.0,GB00BYW8QM32,2011.0
9991011.476063354,2561639.287282746,280275.8994935264,5518962.197379881,5226321.184673404,31.0,GB00BYW8QM32,2012.0
8413665.362736428,2182959.5080878884,766985.773111961,4043532.1390160793,3253368.2244089767,29.0,GB00BYW8QM32,2010.0
4924028.854664683,1536946.5800779052,768473.2900389526,4535442.360833666,3824967.054948597,21.0,GB00BYW8QM32,2007.0
8675630.482825426,1797294.1422849186,-310840.2285991655,4505190.749119956,4485265.093440522,30.0,GB00BYW8QM32,2013.0
1703940.6288052425,302568.89670373464,,0.0,2256526.9822589057,4.0,GB00BYW8QM32,2018.0
84967124.19542718,79662977.03541076,-38884864.67222173,117863829.63863786,132777735.64296728,575.0,GB00BYW8QM32,1997.0
3822169.197249973,1668193.9114011512,-4948768.555011594,2819599.126581376,5287781.939732521,29.0,GB00BYW8QM32,2014.0
5176070.322461137,1446792.6128372704,679000.1432088271,5163012.62739943,4463120.172091868,25.0,GB00BYW8QM32,2008.0
14267093.43072157,11834938.025321234,829143.8882046586,5545081.582168701,3784969.1177342497,26.0,GB00BYW8QM32,2004.0
9872468.91723366,12726687.653701214,1407559.9248333138,10730200.74642896,11507291.121597352,64.0,GB00BYW8QM32,2001.0
11977275.440609274,10885618.67035877,-30949.03214627715,2723514.828872393,1702196.7680452454,,GB00BYW8QM32,2005.0
9718890.636107087,12038819.853559252,498722.7515592353,5026926.839099555,4895422.829981947,41.0,GB00BYW8QM32,2002.0
10755716.478707556,21365150.95782833,-2082523.7395717148,18490044.747768275,18335783.730022226,115.0,GB00BYW8QM32,2000.0
22177739.07599004,24575822.26083766,-14992550.289148107,43603434.43280242,55476060.37692837,227.0,GB00BYW8QM32,1998.0
1584179.1409289136,116024.38778634292,,0.0,1408655.067098292,5.0,GB00BYW8QM32,2019.0
3642799.118996712,331304.9583032877,,0.0,2866643.3716101367,5.0,GB00BYW8QM32,2021.0
8051080.5353616895,2466135.0464799474,454959.39650578337,3969201.837739709,3452589.0650719265,25.0,GB00BYW8QM32,2009.0
10430649.92480021,12526875.80118008,449001.48682914814,4702559.950814155,3940054.467264063,31.0,GB00BYW8QM32,2003.0
116566839.2173705,78534583.46972616,7210865.852235595,171472209.57476002,154602209.8098754,792.0,GB00BYW8QM32,1995.0
103387426.33841851,70618991.14171948,479728.2122309308,195417287.25226972,181843977.1474608,851.0,GB00BYW8QM32,1996.0
16129926.934538802,25340811.46999936,-2271534.6744143674,36382268.64857034,36565035.80628185,154.0,GB00BYW8QM32,1999.0
3892269.9151742826,1403091.63372784,1419631.024302235,3853678.003834028,2960550.9128167,,GB00BYW8QM32,2006.0
116294742.66722618,79370310.8946255,-10318575.799246432,145944321.2296178,150523758.20688215,796.0,GB00BYW8QM32,1991.0
74095207.86403532,29182025.399605043,3434608.9575107666,130195170.9188486,122021773.65911186,689.0,GB00BYW8QM32,1989.0
